pid,bc,yds
655398,CK-0100,8
655402,CH-5000,2
655411,DW-3600,3
655414,DW-3600,2
655417,DW-3600,2
655421,CH-5000,4
655422,CH-5000,-1
655430,CK-0100,0
655432,DW-3600,1
655435,DW-3600,3
655436,DW-3600,2
655439,CH-5000,3
655442,CK-0100,5
655446,BR-1100,-1
655448,CH-5000,-2
655450,CH-5000,2
655451,CK-0100,7
655454,CK-0100,2
655460,CK-0100,3
655465,CK-0100,10
655470,MD-0150,2
655473,MD-0150,1
655474,MD-0150,0
655476,MD-0150,1
655478,DW-3600,4
655479,DW-3600,0
655492,DW-3600,16
655493,DW-3600,3
655496,DW-3600,7
655497,DW-3600,1
655500,MD-0150,5
655504,DW-3600,4
655505,DW-3600,3
655507,DW-3600,10
655512,MD-0150,2
655522,MD-0150,3
655525,CK-0100,2
655526,JT-3000,11
655527,MV-0300,-1
655528,MV-0300,-1
655529,MV-0300,-1
655532,BC-2325,-4
655535,MI-0100,0
655539,CS-3400,0
655542,DM-0450,2
655543,DM-0450,3
655545,DM-0450,20
655546,DM-0450,1
655547,JW-5650,2
655550,MI-0100,5
655552,CS-3400,0
655557,DM-0450,10
655563,MI-0100,0
655566,MI-0100,3
655572,DM-0450,5
655573,DM-0450,3
655577,MI-0100,5
655579,MI-0100,4
655582,CS-1950,7
655583,CS-1950,1
655584,JW-5650,2
655588,CS-1950,7
655592,MI-0100,1
655594,MI-0100,1
655596,MI-0100,0
655597,MI-0100,11
655604,JW-5650,4
655611,DB-3800,-1
655613,DM-0450,14
655614,DM-0450,3
655617,JW-5650,1
655623,MI-0100,2
655625,DM-0450,2
655626,DM-0450,1
655628,CS-1950,6
655629,CS-1950,12
655630,DM-0450,2
655632,DM-0450,1
655636,KR-1050,12
655637,KR-1050,4
655641,DM-0450,3
655650,KR-1050,13
655651,KR-1050,5
655654,MI-0100,6
655655,MI-0100,5
655656,CS-3400,7
655657,MI-0100,7
655658,MI-0100,2
655659,AJ-1125,1
655662,CS-1950,5
655663,CS-1950,2
655665,MI-0100,1
655669,DM-0450,-2
655670,KR-1050,14
655674,DM-0450,1
655676,JW-5650,9
655677,DM-0450,1
655678,DM-0450,0
655681,JW-5650,5
655685,DM-0450,3
655686,CS-1950,-2
655687,DM-0450,1
655688,DM-0450,4
655703,AP-0700,0
655704,AP-0700,11
655705,AP-0700,2
655708,AP-0700,25
655709,AP-0700,5
655710,AP-0700,2
655711,TB-2650,8
655712,AP-0700,0
655717,AA-0025,0
655719,AA-0025,7
655720,JB-2700,0
655723,AP-0700,-2
655724,AP-0700,7
655728,JB-2700,-2
655735,AP-0700,9
655736,AP-0700,6
655737,JW-6560,29
655738,AP-0700,3
655739,AP-0700,2
655740,AP-0700,0
655741,TB-2650,1
655745,AA-0025,2
655748,JB-2700,3
655751,AA-0025,2
655752,MB-5175,2
655760,AP-0700,4
655764,JM-3450,3
655766,AP-0700,-4
655782,MA-1150,2
655784,JB-2700,1
655787,AP-0700,-5
655788,MS-4100,3
655789,AA-0025,-5
655790,MS-4100,3
655793,AP-0700,11
655794,AP-0700,4
655796,TB-2650,6
655798,ZL-0200,1
655803,TR-0370,5
655804,AP-0700,8
655805,AP-0700,4
655811,AA-0025,3
655814,MS-4100,5
655821,AP-0700,4
