pid,qtr,min,sec,dwn,yds,pts,player,type
662315,1,13,31,3,12,7,TA-1050,REC
662413,3,5,53,3,18,7,SB-0070,REC
662445,4,8,23,3,12,7,TA-1050,REC
662455,4,4,44,2,23,7,DJ-1325,REC
662516,2,11,35,1,72,7,RH-2350,RUSH
662555,2,0,17,1,4,7,MW-0500,REC
662568,3,11,15,4,1,7,OD-0100,REC
662604,4,10,9,4,48,7,AP-0700,RUSH
662661,1,3,52,1,3,7,JH-4070,REC
662675,2,13,37,1,1,7,JR-0250,RUSH
662765,4,8,2,2,1,7,KR-1050,RUSH
662786,4,1,56,4,17,7,TW-2270,REC
662800,5,14,57,2,80,6,CS-3400,REC
662841,2,11,3,1,24,7,DB-0500,REC
662926,4,8,42,3,27,7,CR-0650,FUM
662982,1,1,27,2,4,7,AJ-0900,REC
663038,2,0,1,4,42,7,JS-7075,REC
663044,3,13,6,2,3,7,FG-0200,RUSH
663065,3,4,8,2,11,7,JS-7075,REC
663086,4,10,31,3,2,7,AJ-0900,REC
663133,1,8,18,2,0,7,RW-3550,FUM
663167,2,10,3,3,19,7,DT-0850,REC
663262,4,3,11,3,22,6,MW-3250,REC
663277,4,0,23,2,7,6,MF-1300,REC
663290,1,11,6,1,14,7,TE-0300,REC
663300,1,6,39,1,30,7,JK-0250,REC
663370,3,8,51,1,69,7,TR-0112,RUSH
663376,3,6,47,1,23,7,BW-0150,FUM
663404,4,12,23,2,10,7,TE-0300,REC
663423,4,3,41,2,5,7,AD-0100,RUSH
663500,2,12,18,3,7,7,DC-0775,REC
663587,4,9,21,1,2,6,JJ-4700,ORCV
663593,4,8,5,1,2,6,MJ-2275,RUSH
663616,4,0,30,1,6,7,DF-1875,RUSH
663630,5,12,26,2,59,6,RA-0650,INT
663664,2,14,29,1,12,7,AH-3900,REC
663683,2,7,34,3,10,7,DM-0450,REC
663695,2,2,31,2,1,7,DM-0450,RUSH
663704,2,0,40,2,13,7,AR-1250,REC
663737,3,3,8,2,4,7,TY-0150,REC
663749,3,0,24,1,3,8,JS-4037,FUM
