pid,psr,trg,yds,comp
653623,RW-3850,JG-2900,0,0
653625,RW-3850,LW-1450,0,0
653626,RW-3850,JG-2900,0,0
653627,RW-3850,JG-2900,7,1
653630,NF-0250,BC-3070,42,1
653633,NF-0250,BC-3070,7,1
653635,RW-3850,DB-0500,7,1
653639,RW-3850,JG-2900,11,1
653640,RW-3850,JK-0250,21,1
653641,RW-3850,JK-0250,5,1
653643,RW-3850,JK-0250,0,0
653650,NF-0250,SB-0070,0,0
653652,NF-0250,JC-4300,8,1
653654,NF-0250,TA-1050,7,1
653655,NF-0250,BC-3070,0,0
653657,NF-0250,BC-3070,0,0
653658,NF-0250,KB-1900,21,1
653659,NF-0250,LK-0200,5,1
653660,NF-0250,TA-1050,0,0
653661,NF-0250,LK-0200,37,1
653664,RW-3850,DB-0500,8,1
653665,RW-3850,JK-0250,7,1
653666,RW-3850,ML-2500,2,1
653671,NF-0250,SB-0070,22,1
653674,NF-0250,TA-1050,0,0
653677,RW-3850,ML-2500,19,1
653678,RW-3850,TL-1025,8,1
653680,RW-3850,DB-0500,5,1
653681,RW-3850,DB-0500,2,1
653685,CP-0500,JB-6950,14,1
653686,CP-0500,MF-0950,18,1
653687,CP-0500,JB-6950,8,1
653691,CP-0500,DF-0550,12,1
653693,CP-0500,AE-0750,0,0
653694,CP-0500,JB-6950,10,1
653698,DB-3800,BC-2325,8,1
653700,DB-3800,MC-2400,9,1
653704,DB-3800,MI-0100,24,1
653707,DB-3800,BC-2325,0,0
653711,CP-0500,DJ-1325,0,0
653712,CP-0500,JB-6950,14,1
653713,CP-0500,LF-0200,5,1
653714,CP-0500,LF-0200,0,0
653715,CP-0500,JB-6950,0,0
653718,DB-3800,BC-1850,0,0
653719,DB-3800,BW-0700,8,1
653720,DB-3800,BC-2325,0,0
653722,DB-3800,MI-0100,4,1
653727,CP-0500,DF-0550,48,1
653735,DB-3800,KR-1050,22,1
653736,DB-3800,BW-0700,7,1
653737,DB-3800,AJ-1125,0,0
653738,DB-3800,MI-0100,0,0
653740,DB-3800,KR-1050,7,1
653743,DB-3800,MI-0100,4,1
653744,DB-3800,AJ-1125,2,1
653745,DB-3800,BC-1850,12,1
653749,CP-0500,JB-6750,8,1
653750,CP-0500,CJ-1700,0,0
653752,DB-3800,BC-2325,-2,1
653753,DB-3800,KR-1050,12,1
653755,DB-3800,BC-1850,4,1
653756,DB-3800,BW-0700,4,1
653757,DB-3800,BC-1850,0,0
653759,CP-0500,AE-0750,0,0
653760,CP-0500,LF-0200,12,1
653761,CP-0500,AE-0750,7,1
653762,CP-0500,DF-0550,5,1
653763,CP-0500,JN-0625,0,0
653764,CP-0500,JN-0625,0,0
653767,DB-3800,WS-0925,63,1
653769,DB-3800,AJ-1125,3,1
653770,DB-3800,KR-1050,3,1
653775,CP-0500,JB-6950,0,0
653777,DB-3800,MC-2400,0,0
653779,DB-3800,MI-0100,7,1
653781,DB-3800,KR-1050,0,0
653783,DB-3800,BC-2325,13,1
